,playlist_id,id,cover_url,data_source_id,order_rank,source_playlist_id
0,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8babd04a-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,f60bd009-d3a2-4634-802c-5bf156812036,0000000C,
1,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8ba84a88-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,2b83d9e1-222b-4289-b850-aa08bcd27b31,0000000B,
2,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8ba4cb56-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,5bdb6a64-29eb-4ef9-99f9-915b53a7a35e,0000000A,
3,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8ba15f48-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,97a6df79-225c-4e88-9d69-dfad3bdce5f8,00000009,
4,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8b9df786-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,a3dfcf02-38df-496d-88b0-8a39bc682641,00000008,
5,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8b9a87f4-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,fa3cf8ef-8555-4d25-9684-5cdf24adf3b5,00000007,
6,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8b96d62c-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,5ef87f28-7178-426e-8172-3d14c8e61b54,00000006,
7,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8b932216-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,9e2cf9b2-f60c-4ba9-8b1e-093ce15578fd,00000005,
8,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8b8faf46-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,9210dae9-5193-4363-aaef-56624265d775,00000004,
9,8b3f90f6-5d3a-11ec-a0d8-a250eecfded7,8b8c2c68-5d3a-11ec-99b2-ea50d5d14cfa,https://aimg.vibbidi-vid.com/vibbidi-images/albums/img_F4A2942406CB4EEDA98F658CE75E5434.jpg,c4b4e422-5880-4730-b04f-1846a87f2b44,00000003,
